2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 山海祝融, URL: https://cn.bzmanga.com/comic/shanhaizhurong-shanhaizhurong
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 进击的海王, URL: https://cn.bzmanga.com/comic/jinjidehaiwang-boyidongman
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 怒海小霸王, URL: https://cn.bzmanga.com/comic/nuhaixiaobawang-zhenguorangzhi
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: ONE PIECE航海王, URL: https://cn.bzmanga.com/comic/onepiecehanghaiwang-weitianrongyilang
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 航海王学园, URL: https://cn.bzmanga.com/comic/hanghaiwangxueyuan-xiaoluzhuangping
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海风吹过的地方, URL: https://cn.bzmanga.com/comic/haifengchuiguodedifang-wangdake
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 漫画王, URL: https://cn.bzmanga.com/comic/manhuawang-manhuawang
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 非常窃贼, URL: https://cn.bzmanga.com/comic/feichangqiezei-chenyangyanqiangdongman
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 贼中大盗, URL: https://cn.bzmanga.com/comic/zeizhongdadao-image
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 新海缀的读解录, URL: https://cn.bzmanga.com/comic/xinhaizhuidedujielu-bahaixun
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 浅海战纪, URL: https://cn.bzmanga.com/comic/qianhaizhanji-qianhaiyueluwenhuayuantongkengshuxiaohaican
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 国王们的海盗, URL: https://cn.bzmanga.com/comic/guowangmendehaidao-shenjianzhensadayasu
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 王室教师海涅, URL: https://cn.bzmanga.com/comic/wangshijiaoshihainie-chijinghigasa
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: Go!海王子天团, URL: https://cn.bzmanga.com/comic/gohaiwangzitiantuan-xianyuwenhua
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 航海王（番外篇）, URL: https://cn.bzmanga.com/comic/hanghaiwangfanwaipian-jiyingshe
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 航海王（全彩版）, URL: https://cn.bzmanga.com/comic/hanghaiwangquancaiban-jiyingshe
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 航海王谈恋爱, URL: https://cn.bzmanga.com/comic/hanghaiwangtanlianai-yiyuandagui
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 龙王终将归海, URL: https://cn.bzmanga.com/comic/longwangzhongjiangguihai-nanmingqingtian
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 龙之谷—竞技之王, URL: https://cn.bzmanga.com/comic/longzhigujingjizhiwang-manwang
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 遇上大魔王, URL: https://cn.bzmanga.com/comic/yushangdamowang-youziwang
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海虎, URL: https://cn.bzmanga.com/comic/haihu-wenrilianghaiyangchuangzuoyouxiangongsixianggang
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 侵略！乌贼娘, URL: https://cn.bzmanga.com/comic/qinluewuzeiniang-anbuzhenhong
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 末世盗贼行, URL: https://cn.bzmanga.com/comic/moshidaozeixing-yushuiyuanzhuyingmuwenhua
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 看家斗贼记, URL: https://cn.bzmanga.com/comic/kanjiadouzeiji-yiqiatongdongman
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: Durarara!!黄巾贼篇, URL: https://cn.bzmanga.com/comic/durararahuangjinzeipian-chaniaomumingdai
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 酒精王子, URL: https://cn.bzmanga.com/comic/jiujingwangzi-zhengduohai
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 南街帝王, URL: https://cn.bzmanga.com/comic/nanjiediwang-tianwangsida
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 意林画王, URL: https://cn.bzmanga.com/comic/yilinhuawang-yilinhuawang
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 巴贝海姆的商人, URL: https://cn.bzmanga.com/comic/babeihaimudeshangren-guhaizhongyi
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 我对海未、, URL: https://cn.bzmanga.com/comic/woduihaiwei-hainiaokotoumiyangcai
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海王奶奶三千宠, URL: https://cn.bzmanga.com/comic/haiwangnainaisanqianchong-zhiyinmanke
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海王星系列收录, URL: https://cn.bzmanga.com/comic/haiwangxingxilieshoulu-duoren
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海王但丁（境外版）, URL: https://cn.bzmanga.com/comic/haiwangdandingjingwaiban-jiechuanliangerquanfulangxiaoxueguan
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海王的恋爱法则, URL: https://cn.bzmanga.com/comic/haiwangdelianaifaze-liangzhimaoxiansheng
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 高丘亲王航海记, URL: https://cn.bzmanga.com/comic/gaoqiuqinwanghanghaiji-jintengyoukojintengyangzi
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: (C103) [オサカナ・レコーズ (海鲜丼)] SANDWICH TICKET (BanG Dream!), URL: https://cn.bzmanga.com/comic/c103osakanarekozuhaixianjingsandwichticketbangdream-haixianjing
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海虎 II, URL: https://cn.bzmanga.com/comic/haihuii-wenrilianghaiyangchuangzuoyouxiangongsixianggang
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海虎 III, URL: https://cn.bzmanga.com/comic/haihuiii-wenrilianghaiyangchuangzuoyouxiangongsixianggang
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海豹良小宝Friends, URL: https://cn.bzmanga.com/comic/haibaoliangxiaobaofriends-haibaoliangxiaobaofriends
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 才不会输给海猫！, URL: https://cn.bzmanga.com/comic/caibuhuishugeihaimao-yishihailaoboiru
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海王2:失落王国 电影特刊, URL: https://cn.bzmanga.com/comic/haiwang2shiluowangguodianyingtekan-dccomics
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 斯凯王城的王子姬, URL: https://cn.bzmanga.com/comic/sikaiwangchengdewangziji-qinghaihituzi
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 王者荣耀·末日边境, URL: https://cn.bzmanga.com/comic/wangzherongyaomoribianjing-wangshoudan
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 热血鲫鱼王短编集, URL: https://cn.bzmanga.com/comic/rexiejiyuwangduanbianji-wangjiyu
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 喜欢上海的理由, URL: https://cn.bzmanga.com/comic/xihuanshanghaideliyou-shanghaidongmanxiehuishanghaimeizhuxiehui
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 大盗贼泊尔塔, URL: https://cn.bzmanga.com/comic/dadaozeiboerta-beidaoyixi
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 倒霉盗贼物语, URL: https://cn.bzmanga.com/comic/daomeidaozeiwuyu-zuowen
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 马格梅尔深海水族馆, URL: https://cn.bzmanga.com/comic/magemeiershenhaishuizuguan-changxiashenghai
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 异先生之深海灵王, URL: https://cn.bzmanga.com/comic/yixianshengzhishenhailingwang-weibodongman
2025-03-11 16:01:24,388 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 超次元游戏:海王星, URL: https://cn.bzmanga.com/comic/chaociyuanyouxihaiwangxing-yuyingmu
2025-03-11 16:01:24,388 - INFO - downloader.py:239 - search_baozimh - 搜索到 82 个结果
2025-03-11 16:01:28,155 - INFO - downloader.py:252 - get_chapter_list - 获取章节列表: https://cn.bzmanga.com/comic/haizeiwang-weitianrongyilang
2025-03-11 16:01:30,023 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第1话 ROMANCE DAWN 冒险的序幕, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=0
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第2话 戴草帽的路飞, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=1
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第3话 “海盗猎人”佐罗出场, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=2
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第4话 海军上校“斧手摩根”, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=3
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第5话 海盗王和剑圣, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=4
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第6话 第一个人, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=5
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第7话 朋友, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=6
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第8话 奈美登场, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=7
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第9话 魔性之女, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=8
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第10话 酒吧事件, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=9
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第11话 失败, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=10
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第12话 狗, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=11
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第13话 宝贝, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=12
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第14话 鲁莽, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=13
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第15话 GONE, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=14
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第16话 对抗巴奇海盗团, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=15
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第17话 实力, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=16
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第18话 海盗“小丑巴奇”, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=17
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第19话 恶魔果实, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=18
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第20话 神偷之道, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=19
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第21话 小镇, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=20
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第22话 你是珍惜动物, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=21
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第23话 撒谎布船长登场, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=22
2025-03-11 16:01:30,024 - DEBUG - downloader.py:269 - get_chapter_list - 找到章节: 第24话 不须隐瞒的事, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=23
2025-03-11 16:01:30,029 - DEBUG - downloader.py:282 - get_chapter_list - 找到章节: 第25话 吹嘘王, URL: https://cn.bzmanga.com/user/page_direct?comic_id=hanghaiwang-weitianrongyilang_l20yux&section_slot=0&chapter_slot=24
